id;name;start;end;V
46;FIEBRE REUMATICA AGUDA;390;392;FALSE
47;ENFERMEDAD CARDIACA REUMATICA CRONICA;393;398;FALSE
48;ENFERMEDAD HIPERTENSIVA;401;405;FALSE
49;CARDIOPATIA ISQUEMICA;410;414;FALSE
50;ENFERMEDADES DE LA CIRCULACION PULMONAR;415;417;FALSE
51;OTRAS FORMAS DE ENFERMEDAD CARDIACA;420;429;FALSE
52;ENFERMEDAD CEREBROVASCULAR;430;438;FALSE
53;ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;440;449;FALSE
54;ENFERMEDADES DE VENAS Y LINFATICOS, Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;451;459;FALSE
55;INFECCIONES RESPIRATORIAS AGUDAS;460;466;FALSE
56;OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;470;478;FALSE
57;NEUMONIA Y GRIPE;480;488;FALSE
58;ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA Y ENFERMEDADES ASOCIADAS;490;496;FALSE
59;NEUMOCONIOSIS Y OTRAS ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS;500;508;FALSE
60;OTRAS ENFERMEDADES DEL APARATO RESPIRATORIO;510;519;FALSE
61;ENFERMEDADES DE LA CAVIDAD ORAL, GLANDULAS SALIVARES Y MAXILARES;520;529;FALSE
62;ENFERMEDADES DEL ESOFAGO, ESTOMAGO Y DUODENO;530;539;FALSE
63;APENDICITIS;540;543;FALSE
64;HERNIAS DE LA CAVIDAD ABDOMINAL;550;553;FALSE
65;ENTERITIS Y COLITIS NO INFECCIOSAS;555;558;FALSE
66;OTRAS ENFERMEDADES DEL INTESTINO Y EL PERITONEO;560;569;FALSE
67;OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;570;579;FALSE
68;NEFRITIS, SINDROME NEFROTICO, Y NEFROSIS;580;589;FALSE
69;OTRAS ENFERMEDADES DEL APARATO URINARIO;590;599;FALSE
70;ENFERMEDADES DE ORGANOS GENITALES MASCULINOS;600;608;FALSE
71;TRASTORNOS DE MAMA;610;612;FALSE
72;ENFERMEDAD INFLAMATORIA DE LOS ORGANOS PELVICOS FEMENINOS;614;616;FALSE
73;OTROS TRASTORNOS DEL TRACTO GENITAL FEMENINO;617;629;FALSE
74;EMBARAZO ECTOPICO Y MOLAR;630;633;FALSE
75;OTRO EMBARAZO CON RESULTADO ABORTIVO;634;639;FALSE
76;COMPLICACIONES PRINCIPALMENTE RELACIONADAS CON EL EMBARAZO;640;649;FALSE
77;PARTO NORMAL Y OTRAS INDICACIONES PARA CUIDADOS DURANTE EL EMBARAZO, TRABAJO DE PARTO Y PARTO;650;659;FALSE
78;COMPLICACIONES QUE SE PRESENTAN PRINCIPALMENTE DURANTE EL CURSO DEL PARTO;660;669;FALSE
79;COMPLICACIONES DEL PUERPERIO;670;677;FALSE
80;OTRAS COMPLICACIONES MATERNAS Y FETALES;678;679;FALSE
81;INFECCIONES DE LA PIEL Y DEL TEJIDO CELULAR SUBCUTANEO;680;686;FALSE
82;OTROS ESTADOS INFLAMATORIOS DE LA PIEL Y DE LOS TEJIDOS SUBCUTANEOS;690;698;FALSE
83;OTRAS ENFERMEDADES DE PIEL Y DEL TEJIDO SUBCUTANEO;700;709;FALSE
84;ARTROPATIAS Y TRASTORNOS RELACIONADAS;710;719;FALSE
85;DORSOPATIAS;720;724;FALSE
86;REUMATISMO, SALVO DE LA ESPALDA;725;729;FALSE
87;OSTEOPATIAS, CONDROPATIAS Y DEFORMIDADES MUSCULOESQUELETICAS ADQUIRIDAS;730;739;FALSE
88;ANOMALIAS CONGENITAS;740;759;FALSE
89;CAUSAS MATERNAS DE MORBILIDAD Y MORTALIDAD PERINATALES;760;763;FALSE
90;OTRAS ENFERMEDADES CON ORIGEN EN EL PERIODO PERINATAL;764;779;FALSE
91;SINTOMAS;780;789;FALSE
92;HALLAZGOS ANORMALES NO ESPECIFICOS;790;796;FALSE
93;CAUSAS DE MORBILIDAD Y MORTANDAD DESCONOCIDAS Y MAL DEFINIDAS;797;799;FALSE
94;FRACTURAS;800;829;FALSE
95;LUXACION;830;839;FALSE
96;ESGUINCES Y TORCEDURAS DE ARTICULACIONES Y MUSCULOS ADYACENTES;840;848;FALSE
97;LESIONES INTRACRANEALES, SALVO AQUELLAS CON FRACTURA DE CRANEO;850;854;FALSE
98;LESION INTERNA DE TORAX, ABDOMEN Y PELVIS;860;869;FALSE
99;HERIDAS ABIERTAS;870;897;FALSE
100;LESION DE VASOS SANGUINEOS;900;904;FALSE
101;EFECTOS TARDIOS DE LESIONES, ENVENENAMIENTOS, EFECTOS TOXICOS Y OTRAS CAUSAS EXTERNAS;905;909;FALSE
102;LESION SUPERFICIAL;910;919;FALSE
103;CONTUSION CON SUPERFICIE CUTANEA INTACTA;920;924;FALSE
104;LESION POR APLASTAMIENTO;925;929;FALSE
105;EFECTOS DE CUERPO EXTRAÑO QUE ENTRA A TRAVES DE ORIFICIO;930;939;FALSE
106;QUEMADURAS;940;949;FALSE
107;LESION DE NERVIOS Y MEDULA ESPINAL;950;957;FALSE
108;CIERTAS COMPLICACIONES TRAUMATICAS Y LESIONES NO ESPECIFICADAS;958;959;FALSE
109;ENVENENAMIENTO POR DROGAS, SUSTANCIAS MEDICAMENTOSAS Y SUSTANCIAS BIOLOGICAS;960;979;FALSE
110;EFECTOS TOXICOS DE SUSTANCIAS PRIMORDIALMENTE NO MEDICAMENTOSAS CON RESPECTO A SU ORIGEN;980;989;FALSE
111;OTROS EFECTOS Y EFECTOS NO ESPECIFICADOS DE CAUSAS EXTERNAS;990;995;FALSE
112;COMPLICACIONES DE CUIDADOS QUIRURGICOS Y MEDICOS NO CLASIFICADOS BAJO OTROS CONCEPTOS;996;999;FALSE
113;PERSONAS CON RIESGOS SANITARIOS EN POTENCIA RELACIONADOS CON ENFERMEDADES CONTAGIOSAS;V01;V06;TRUE
114;PERSONAS CON NECESIDAD DE AISLAMIENTO Y OTRAS MEDIDAS PROFILACTICAS POR RIESGOS SANITARIOS EN POTENCIA;V07;V09;TRUE
115;PERSONAS CON RIESGOS SANITARIOS EN POTENCIA RELACIONADOS CON SU HISTORIAL PERSONAL Y FAMILIAR;V10;V19;TRUE
116;PERSONAS QUE ENTRAN EN CONTACTO CON LOS SERVICIOS SANITARIOS EN CIRCUNSTANCIAS RELACIONADAS CON LA REPRODUCCION Y DESARROLLO;V20;V29;TRUE
117;RECIEN NACIDOS CON VIDA SEGUN EL TIPO DE PARTO;V30;V39;TRUE
118;PERSONAS AFECTADAS POR UNA CIRCUNSTANCIA QUE INFLUYE EN SU ESTADO DE SALUD;V40;V49;TRUE
119;PERSONAS QUE ENTRAN EN CONTACTO CON LOS SERVICIOS SANITARIOS PARA PROCEDIMIENTOS ESPECIFICOS Y CUIDADOS POSTERIORES;V50;V59;TRUE
120;PERSONAS QUE ENTRAN EN CONTACTO CON LOS SERVICIOS SANITARIOS EN OTRAS CIRCUNSTANCIAS;V60; V69;TRUE
121;PERSONAS SIN DIAGNOSTICO DECLARADO ENCONTRADAS DURANTE EXAMEN E INVESTIGACION DE INDIVIDUOS Y POBLACIONES;V70;V82;TRUE
122;GENETICA;V83;V84;TRUE
123;ESTADO DE PLACENTA CON GESTACION MULTIPLE;V91;V91;TRUE
